,dataset_index,machine,shot
0,21844,cmod,1160707005
1,19514,cmod,1140328020
2,20838,cmod,1150819023
3,21820,cmod,1160701029
4,21059,cmod,1150928010
5,20507,cmod,1150716015
6,20591,cmod,1150723025
7,20447,cmod,1150708027
8,20343,cmod,1150617016
9,20615,cmod,1150728009
10,19440,cmod,1140224027
11,19311,cmod,1120731011
12,22514,cmod,1160928002
13,21800,cmod,1160701007
14,20874,cmod,1150901016
15,22033,cmod,1160804014
16,20230,cmod,1150522003
17,20611,cmod,1150724031
18,22018,cmod,1160803030
19,20350,cmod,1150618007
20,20302,cmod,1150612015
21,19751,cmod,1140625016
22,19641,cmod,1140522008
23,21797,cmod,1160701004
24,21281,cmod,1160420005
25,22216,cmod,1160825012
26,21760,cmod,1160629018
27,22047,cmod,1160804028
28,20667,cmod,1150731013
29,19250,cmod,1120501021
30,22383,cmod,1160915005
31,21781,cmod,1160630015
32,19416,cmod,1140220018
33,21569,cmod,1160527007
34,19870,cmod,1140722002
35,19580,cmod,1140514014
36,22329,cmod,1160908024
37,21900,cmod,1160718012
38,20033,cmod,1140806012
39,21709,cmod,1160621015
40,21969,cmod,1160727008
41,20225,cmod,1150515011
42,21206,cmod,1160413026
43,19585,cmod,1140514019
44,19429,cmod,1140224008
45,19909,cmod,1140723030
46,20910,cmod,1150903005
47,21019,cmod,1150923004
48,19685,cmod,1140613001
49,19479,cmod,1140227020
50,22399,cmod,1160915023
51,21827,cmod,1160706005
52,20119,cmod,1140821004
53,19275,cmod,1120621024
54,19530,cmod,1140408031
55,21601,cmod,1160608019
56,19920,cmod,1140725017
57,22064,cmod,1160805017
58,20857,cmod,1150826029
59,20624,cmod,1150728028
60,20252,cmod,1150527021
61,19914,cmod,1140725001
62,19214,cmod,1120203013
63,21622,cmod,1160615010
64,19374,cmod,1120912013
65,22150,cmod,1160816018
66,19419,cmod,1140221002
67,21327,cmod,1160422011
68,20049,cmod,1140807003
69,20515,cmod,1150717006
70,19572,cmod,1140514006
71,19430,cmod,1140224009
72,19573,cmod,1140514007
73,20134,cmod,1140826007
74,19339,cmod,1120829018
75,22490,cmod,1160926034
76,19993,cmod,1140801002
77,19983,cmod,1140731028
78,20613,cmod,1150728003
79,21716,cmod,1160621022
80,22273,cmod,1160830021
81,19325,cmod,1120824017
82,19856,cmod,1140715010
83,20518,cmod,1150717011
84,22364,cmod,1160913025
85,22165,cmod,1160817015
86,22090,cmod,1160809025
87,19956,cmod,1140730023
